feature,importance
spo2_mean_12h,0.06187916260323767
rr_mean_12h,0.057244771314151933
spo2_std_12h,0.054231522116448265
spo2_min_12h,0.04803825583891893
dbp_std_12h,0.04205923909275504
hr_mean_12h,0.04183940564247738
hr_max_12h,0.040059812819215564
hr_std_12h,0.039990958729682974
dbp_mean_12h,0.039800744975727165
sbp_std_12h,0.03965305764611066
sbp_mean_12h,0.038663073190018354
rr_std_12h,0.03843622015277707
sbp_max_12h,0.037574635629430614
rr_min_12h,0.036914279701008065
dbp_max_12h,0.0364490300893791
sbp_min_12h,0.03581092245754868
hr_min_12h,0.03540391515796169
dbp_min_12h,0.034259997246370924
rr_max_12h,0.03314396069606387
hr_last,0.032933324668914424
rr_last,0.030890770046172918
sbp_last,0.027787550371910316
dbp_last,0.025720738328117856
spo2_last,0.024479277380494435
spo2_max_12h,0.017796891887898014
hr_count_12h,0.010689897954875979
spo2_count_12h,0.010481238113151227
rr_count_12h,0.010277767414169449
dbp_count_12h,0.009100145817931287
sbp_count_12h,0.008389432917080155
